dc,dinve,dw,dy,labobs,pinfobs,robs
1.327099975,2.260358076,1.273718838,0.409786836,3.337423579,0.166373818,1.375
0.885312028,0.704141207,1.138516669,0.863268913,2.992676888,0.364015771,1.383333333
1.063089632,2.19016256,0.233115719,1.20885323,4.136032687,0.345159333,1.215
0.462499469,0.942232528,1.390328337,0.46862716,3.952379226,0.405638303,1.183333333
1.573286937,1.796865293,-0.031766469,0.555612238,3.986990312,0.354868528,1.186666667
0.949492131,1.115654011,0.536713179,0.866109684,4.058132251,0.346472008,1.273333333
1.099101075,-0.072445681,1.630451406,1.465393792,4.090260521,0.426583151,1.326666667
0.122946015,0.944866025,2.492464815,-1.180517255,4.188935303,0.895080034,1.42
0.417638062,1.886438543,-0.127674052,1.290227267,3.762651292,0.430017441,1.568333333
0.58993084,-0.524245043,1.429269102,-0.433010732,3.061243074,0.513990852,1.63
0.578441118,-0.298732183,0.111670171,0.217694989,2.831799336,0.405126845,1.618333333
0.161646627,-1.783473121,0.876092524,-0.376035972,2.451950781,0.803392005,1.398333333
-0.172709114,-2.882280408,-0.11024557,0.010706341,1.19438148,0.759832841,1.081666667
-0.149230348,-1.33187658,0.017895199,-0.67139392,0.206238609,0.412830521,0.874166667
1.002516954,-3.607608008,0.283579369,0.074263369,-0.688298433,0.50129801,0.533333333
0.166504094,-1.90349573,1.020527134,0.583238396,-0.832836685,0.250676425,0.433333333
0.711647,-1.610493287,0.463508624,0.340853686,-0.680085924,0.444635934,0.4375
0.577084926,-0.675429125,0.028107188,0.336256916,-0.75188355,0.318994861,0.435
0.168049081,-0.330387313,-0.21027717,-0.125306366,-1.397529795,0.487093956,0.360833333
-0.020525229,-0.428109616,0.661175029,-0.285066331,-1.799496976,0.711530122,0.3125
0.593974742,1.979080397,1.071105365,0.752780434,-1.982596465,0.283011467,0.311666667
0.963100368,3.774340889,1.073032298,1.452546391,-2.474803483,0.329327913,0.254166667
0.47777053,2.487176219,0.637122676,0.681041328,-2.09159392,0.352657756,0.251666667
1.062723658,0.843084077,-0.152529404,1.017161039,-1.88739672,0.67643368,0.250833333
0.134490769,3.271152452,0.640072087,0.579110627,-2.287389814,0.786670662,0.2525
0.890420983,2.16798602,0.983931292,0.664565006,-1.879071409,0.359229291,0.358333333
0.788226274,2.181924992,0.254465931,0.614386848,-1.760493622,0.568063224,0.4875
